,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,RF
1987-01-31,12.47,-1.54,-3.16,0.17,-1.0,2.2,0.42
1987-02-28,4.39,3.4,-5.91,-0.76,-2.66,-2.07,0.43
1987-03-31,1.64,0.28,1.61,1.36,4.14,1.68,0.47
1987-04-30,-2.11,-1.54,-0.39,-0.49,1.05,0.22,0.44
1987-05-31,0.11,-0.56,0.23,0.51,1.14,-0.74,0.38
1987-06-30,3.94,-2.21,1.04,1.7,0.84,-0.25,0.48
1987-07-31,3.85,-1.14,0.68,-0.61,1.61,2.72,0.46
1987-08-31,3.52,-0.94,-0.93,2.04,-1.61,-0.86,0.47
1987-09-30,-2.59,0.38,0.27,-0.97,1.87,0.77,0.45
1987-10-31,-23.24,-8.07,4.24,2.04,2.34,-7.86,0.6
1987-11-30,-7.77,2.85,2.95,-1.88,0.68,-1.17,0.35
1987-12-31,6.81,0.06,-4.43,2.96,-2.42,5.87,0.39
1988-01-31,4.21,-0.51,5.01,-1.14,2.13,-7.24,0.29
1988-02-29,4.75,3.32,-1.71,1.56,-0.01,-1.47,0.46
1988-03-31,-2.27,6.25,0.73,-0.25,1.8,0.58,0.44
1988-04-30,0.56,1.16,1.67,-0.2,1.92,2.24,0.46
1988-05-31,-0.29,-2.56,2.42,-0.74,0.33,0.63,0.51
1988-06-30,4.79,2.16,-1.24,1.47,-3.37,-2.93,0.49
1988-07-31,-1.25,-0.21,2.22,-0.58,1.52,0.66,0.51
1988-08-31,-3.31,-0.03,2.15,-0.82,1.76,0.35,0.59
1988-09-30,3.3,-1.36,-0.75,1.76,-0.61,0.27,0.62
1988-10-31,1.15,-2.95,2.05,1.3,1.03,1.33,0.61
1988-11-30,-2.29,-1.65,1.41,-0.28,1.62,0.33,0.57
1988-12-31,1.49,2.01,-1.69,0.69,-0.38,0.49,0.63
1989-01-31,6.1,-2.31,0.6,-0.95,0.14,-0.16,0.55
1989-02-28,-2.25,2.71,1.01,-0.87,1.81,0.99,0.61
1989-03-31,1.57,0.68,0.58,0.05,0.72,3.51,0.67
1989-04-30,4.33,-0.78,-1.42,0.71,-0.57,1.77,0.67
1989-05-31,3.35,-0.01,-0.88,0.49,-0.08,1.52,0.79
1989-06-30,-1.35,-1.09,2.25,0.27,1.56,0.43,0.71
1989-07-31,7.2,-4.15,-2.79,1.98,-0.58,5.41,0.7
1989-08-31,1.44,0.48,0.6,0.39,-0.58,-0.12,0.74
1989-09-30,-0.76,0.49,-1.27,1.4,0.5,3.4,0.65
1989-10-31,-3.67,-3.3,-1.11,0.11,-0.04,1.32,0.68
1989-11-30,1.03,-1.29,-1.09,-0.86,1.41,2.6,0.69
1989-12-31,1.16,-2.27,0.16,-0.07,1.42,2.8,0.61
1990-01-31,-7.85,-1.31,0.85,-1.17,1.35,-3.27,0.57
1990-02-28,1.11,1.17,0.64,-0.03,-0.66,-0.55,0.57
1990-03-31,1.83,1.62,-2.92,2.04,-1.02,1.8,0.64
1990-04-30,-3.36,-0.33,-2.59,1.78,-0.98,2.39,0.69
1990-05-31,8.42,-2.35,-3.83,1.57,-1.68,3.03,0.68
1990-06-30,-1.09,1.35,-1.93,-1.03,-0.39,2.4,0.63
1990-07-31,-1.9,-3.16,-0.03,-0.18,3.21,6.1,0.68
1990-08-31,-10.15,-3.87,1.64,-0.35,2.96,1.88,0.66
1990-09-30,-6.12,-3.74,0.64,0.06,3.67,5.78,0.6
1990-10-31,-1.92,-5.12,0.1,2.97,-0.3,6.71,0.68
1990-11-30,6.35,0.07,-3.1,0.65,-4.74,-5.48,0.57
1990-12-31,2.46,0.67,-1.7,2.73,-1.89,0.29,0.6
