Industry,Three_factor_model,Five_factor_model,Adjusted_five_factor_model
NoDur,43.36010240202081,10.408064367812958,11.412056547010934
Durbl,27.222052401105906,16.78459431155493,23.099122802877677
Manuf,25.692285547495825,10.261769304422252,14.182757123682011
Enrgy,24.496396002307762,13.18218492769402,6.292578888551913
Chems,32.47171488982731,1.8957998759195955,3.0632861500156463
BusEq,39.565043246714225,59.419682389690735,66.81364784783709
Telcm,18.522894460587136,19.38825765249898,10.561911983336476
Utils,46.410290975841804,26.053824177412206,16.570270066858825
Shops,37.42207998739775,19.38082110857173,26.038132306006144
Hlth,46.08357118473943,29.23539408360616,31.736478064979934
Money,13.493767334066401,24.157396945872552,5.645161382909154
Other,2.9002629259162034,6.2333824794344705,2.2839609394100275
Mean,29.803371779835043,19.700097635374213,18.141613675289655
Mean_except_BusEq,28.98989915759511,16.390132239181174,14.08561082757737
