,,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM
1987-01-31,Mkt_minus_RF,,,,,,
1987-01-31,SMB,,,,,,
1987-01-31,HML,,,,,,
1987-01-31,RMW,,,,,,
1987-01-31,CMA,,,,,,
1987-01-31,MOM,,,,,,
1987-02-28,Mkt_minus_RF,,,,,,
1987-02-28,SMB,,,,,,
1987-02-28,HML,,,,,,
1987-02-28,RMW,,,,,,
1987-02-28,CMA,,,,,,
1987-02-28,MOM,,,,,,
1987-03-31,Mkt_minus_RF,,,,,,
1987-03-31,SMB,,,,,,
1987-03-31,HML,,,,,,
1987-03-31,RMW,,,,,,
1987-03-31,CMA,,,,,,
1987-03-31,MOM,,,,,,
1987-04-30,Mkt_minus_RF,,,,,,
1987-04-30,SMB,,,,,,
1987-04-30,HML,,,,,,
1987-04-30,RMW,,,,,,
1987-04-30,CMA,,,,,,
1987-04-30,MOM,,,,,,
1987-05-31,Mkt_minus_RF,,,,,,
1987-05-31,SMB,,,,,,
1987-05-31,HML,,,,,,
1987-05-31,RMW,,,,,,
1987-05-31,CMA,,,,,,
1987-05-31,MOM,,,,,,
1987-06-30,Mkt_minus_RF,,,,,,
1987-06-30,SMB,,,,,,
1987-06-30,HML,,,,,,
1987-06-30,RMW,,,,,,
1987-06-30,CMA,,,,,,
1987-06-30,MOM,,,,,,
1987-07-31,Mkt_minus_RF,,,,,,
1987-07-31,SMB,,,,,,
1987-07-31,HML,,,,,,
1987-07-31,RMW,,,,,,
1987-07-31,CMA,,,,,,
1987-07-31,MOM,,,,,,
1987-08-31,Mkt_minus_RF,,,,,,
1987-08-31,SMB,,,,,,
1987-08-31,HML,,,,,,
1987-08-31,RMW,,,,,,
1987-08-31,CMA,,,,,,
1987-08-31,MOM,,,,,,
1987-09-30,Mkt_minus_RF,,,,,,
1987-09-30,SMB,,,,,,
1987-09-30,HML,,,,,,
1987-09-30,RMW,,,,,,
1987-09-30,CMA,,,,,,
1987-09-30,MOM,,,,,,
1987-10-31,Mkt_minus_RF,,,,,,
1987-10-31,SMB,,,,,,
1987-10-31,HML,,,,,,
1987-10-31,RMW,,,,,,
1987-10-31,CMA,,,,,,
1987-10-31,MOM,,,,,,
1987-11-30,Mkt_minus_RF,,,,,,
1987-11-30,SMB,,,,,,
1987-11-30,HML,,,,,,
1987-11-30,RMW,,,,,,
1987-11-30,CMA,,,,,,
1987-11-30,MOM,,,,,,
1987-12-31,Mkt_minus_RF,,,,,,
1987-12-31,SMB,,,,,,
1987-12-31,HML,,,,,,
1987-12-31,RMW,,,,,,
1987-12-31,CMA,,,,,,
1987-12-31,MOM,,,,,,
1988-01-31,Mkt_minus_RF,,,,,,
1988-01-31,SMB,,,,,,
1988-01-31,HML,,,,,,
1988-01-31,RMW,,,,,,
1988-01-31,CMA,,,,,,
1988-01-31,MOM,,,,,,
1988-02-29,Mkt_minus_RF,,,,,,
1988-02-29,SMB,,,,,,
1988-02-29,HML,,,,,,
1988-02-29,RMW,,,,,,
1988-02-29,CMA,,,,,,
1988-02-29,MOM,,,,,,
1988-03-31,Mkt_minus_RF,,,,,,
1988-03-31,SMB,,,,,,
1988-03-31,HML,,,,,,
1988-03-31,RMW,,,,,,
1988-03-31,CMA,,,,,,
1988-03-31,MOM,,,,,,
1988-04-30,Mkt_minus_RF,,,,,,
1988-04-30,SMB,,,,,,
1988-04-30,HML,,,,,,
1988-04-30,RMW,,,,,,
1988-04-30,CMA,,,,,,
1988-04-30,MOM,,,,,,
1988-05-31,Mkt_minus_RF,,,,,,
1988-05-31,SMB,,,,,,
1988-05-31,HML,,,,,,
1988-05-31,RMW,,,,,,
1988-05-31,CMA,,,,,,
1988-05-31,MOM,,,,,,
1988-06-30,Mkt_minus_RF,,,,,,
1988-06-30,SMB,,,,,,
1988-06-30,HML,,,,,,
1988-06-30,RMW,,,,,,
1988-06-30,CMA,,,,,,
1988-06-30,MOM,,,,,,
1988-07-31,Mkt_minus_RF,,,,,,
1988-07-31,SMB,,,,,,
1988-07-31,HML,,,,,,
1988-07-31,RMW,,,,,,
1988-07-31,CMA,,,,,,
1988-07-31,MOM,,,,,,
1988-08-31,Mkt_minus_RF,,,,,,
1988-08-31,SMB,,,,,,
1988-08-31,HML,,,,,,
1988-08-31,RMW,,,,,,
1988-08-31,CMA,,,,,,
1988-08-31,MOM,,,,,,
1988-09-30,Mkt_minus_RF,,,,,,
1988-09-30,SMB,,,,,,
1988-09-30,HML,,,,,,
1988-09-30,RMW,,,,,,
1988-09-30,CMA,,,,,,
1988-09-30,MOM,,,,,,
1988-10-31,Mkt_minus_RF,,,,,,
1988-10-31,SMB,,,,,,
1988-10-31,HML,,,,,,
1988-10-31,RMW,,,,,,
1988-10-31,CMA,,,,,,
1988-10-31,MOM,,,,,,
1988-11-30,Mkt_minus_RF,,,,,,
1988-11-30,SMB,,,,,,
1988-11-30,HML,,,,,,
1988-11-30,RMW,,,,,,
1988-11-30,CMA,,,,,,
1988-11-30,MOM,,,,,,
1988-12-31,Mkt_minus_RF,,,,,,
1988-12-31,SMB,,,,,,
1988-12-31,HML,,,,,,
1988-12-31,RMW,,,,,,
1988-12-31,CMA,,,,,,
1988-12-31,MOM,,,,,,
1989-01-31,Mkt_minus_RF,,,,,,
1989-01-31,SMB,,,,,,
1989-01-31,HML,,,,,,
1989-01-31,RMW,,,,,,
1989-01-31,CMA,,,,,,
1989-01-31,MOM,,,,,,
1989-02-28,Mkt_minus_RF,,,,,,
1989-02-28,SMB,,,,,,
1989-02-28,HML,,,,,,
1989-02-28,RMW,,,,,,
1989-02-28,CMA,,,,,,
1989-02-28,MOM,,,,,,
1989-03-31,Mkt_minus_RF,,,,,,
1989-03-31,SMB,,,,,,
1989-03-31,HML,,,,,,
1989-03-31,RMW,,,,,,
1989-03-31,CMA,,,,,,
1989-03-31,MOM,,,,,,
1989-04-30,Mkt_minus_RF,,,,,,
1989-04-30,SMB,,,,,,
1989-04-30,HML,,,,,,
