,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,Intercept
1992-02-29,0.2974269340476496,0.9565364727844472,0.2955534944319312,-0.7679610781633405,0.10527457983103422,-0.14448579211581322,-0.4040899631061154
1992-03-31,0.33637807171361117,0.944128402620011,0.36648889656925354,-0.41100895556926303,0.21492699758367545,-0.3542952501615252,-0.31884741612516987
1992-04-30,0.33281937872905865,0.9439285337505962,0.36747556550720645,-0.4270780098683039,0.2105558919889097,-0.34818212200734294,-0.3223586747661977
1992-05-31,0.38274966983664194,0.9283239646223311,0.32717383987636206,-0.33729577230846663,0.09213723915674073,-0.5641012532222682,-0.29808550347371415
1992-06-30,0.20789610014991758,0.9291277282212079,0.3672463698875452,-0.21521975276031122,0.19062674982176286,-0.6599316960929723,-0.2545278713952612
1992-07-31,0.20035175812500208,0.9273710749758275,0.3671278368953073,-0.20216263850160757,0.1843788679709153,-0.6803669272615606,-0.24784368441054924
1992-08-31,0.19544981944254708,0.9445484687646449,0.35730568357675446,-0.21815563758775283,0.23943918615318718,-0.6020393742670224,-0.2714015858153404
1992-09-30,0.1997013387792602,0.9714490153756071,0.32175995299547083,-0.231664774254778,0.061496634387208496,-0.5766024473231082,-0.2668281106466112
1992-10-31,0.17720091836082455,0.9643625219938426,0.335850954880678,-0.2191977605574053,0.05364137082263775,-0.5809179215303256,-0.24767701751334087
1992-11-30,0.15824651978322132,0.9646646431430446,0.3354344273376894,-0.2064126663623654,0.061278136449426666,-0.5962792007285725,-0.24457566983603823
1992-12-31,0.17847302227618336,0.9448324415302293,0.31975583663753665,-0.21697295910880593,0.09653462844627907,-0.590834454132741,-0.26659471674485763
1993-01-31,0.28942475445485777,0.9022836885743982,0.33665633982496707,-0.14506991726876672,0.017509930484562775,-0.7404033379699073,-0.23847802957734937
1993-02-28,0.30433012281432065,0.9019946165999164,0.363738094486331,0.14338366819288914,-0.17936207879776314,-0.9508116061756716,-0.13022495337667278
1993-03-31,0.49945811376430066,1.0246877874892835,0.2630557115011658,0.19642423038553988,-0.1971947147944251,-0.6774697464974325,-0.2952474988388561
1993-04-30,0.4946231167432464,1.0103643020897113,0.24967041423080724,0.24292992304926161,-0.25116038157712106,-0.7710263859946787,-0.2651695257703274
1993-05-31,0.49181523032955654,1.0092397437838878,0.34073759394065356,0.18656935943148376,-0.12595587026107666,-0.6183518645047691,-0.27352253439258484
1993-06-30,0.593630744601102,1.0155617283940637,0.3363203545336436,0.08438786413740185,-0.18277539282762403,-0.572741217976466,-0.3054310852606253
1993-07-31,0.61471913362067,1.012833380090698,0.32684896831477384,0.1047172105503532,-0.20527322398926784,-0.6090722914939233,-0.2991444722741112
