,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,Intercept
1992-02-29,0.0,0.942146935454238,0.07499715588987389,-0.08384509253937489,0.0,-0.07140466655960737,-0.009028361952176515
1992-03-31,0.0,0.916827691911906,0.10638918284457781,-0.011686171417260817,0.0,-0.0927468312648566,0.0
1992-04-30,0.0,0.915933142908097,0.08370262979006929,0.0,0.0,-0.07904003073897702,0.0
1992-05-31,0.0,0.906170740624354,0.09544369330941571,0.0,0.0,-0.11302009402967318,0.0
1992-06-30,0.0,0.9098144913764443,0.10928445513131813,0.0,0.0,-0.1280900277288885,0.0
1992-07-31,0.0,0.9102580248328523,0.11568161622855448,0.0,0.0,-0.13237177117654642,0.0
1992-08-31,0.0,0.9216610630286486,0.10180079050006421,0.0,0.0,-0.11478323195030213,0.0
1992-09-30,0.0,0.9377691529351054,0.09597621606333383,0.0,0.0,-0.07809712941217864,0.0
1992-10-31,0.0,0.9311489390796543,0.1074953081573103,0.0,0.0,-0.0663265598922077,0.0
1992-11-30,0.0,0.9306592798498918,0.11092081244013875,0.0,0.0,-0.06642214483425757,0.0
1992-12-31,0.0,0.8699481474218054,0.08532257406696273,0.0,0.0,-0.10372420768985383,0.0
1993-01-31,0.0,0.8406735182565812,0.09980801253406522,0.0,0.0,-0.12031599981188286,-0.005385057162671154
1993-02-28,0.0,0.8217802241403472,0.1152465452585619,0.0,0.0,-0.05066222516288124,-0.02577100211873954
1993-03-31,0.0,0.8621257348386518,0.08327331878173595,0.0,0.0,0.0,-0.10318371906139713
1993-04-30,0.0,0.8509368120454458,0.07010498180089865,0.0,0.0,0.0,-0.09596445394125043
1993-05-31,0.0,0.8418902823784704,0.11545991418567327,0.0,0.0,0.0,-0.08225060139126641
1993-06-30,0.0,0.856325531286507,0.12856941969888935,0.0,0.0,0.0,-0.08534005349892347
1993-07-31,0.0,0.8565758803175265,0.12408068221241399,0.0,0.0,0.0,-0.08788926449277412
1993-08-31,0.0,0.8370867611933673,0.10176823131825308,0.0,0.0,0.0,-0.08642347645483499
1993-09-30,0.0,0.8433986297946147,0.10474528705438672,0.0,0.0,0.0,-0.0697979972652329
1993-10-31,0.0,0.8238936725670031,0.1187312227752049,0.0,0.0,0.0,-0.056392975928786206
1993-11-30,0.0,0.8228645279075231,0.11988245115249661,0.0,0.0,0.0,-0.05635646074263659
1993-12-31,0.0,0.8223453924608496,0.11077132999296649,0.0,0.0,0.0,-0.06651328847590485
1994-01-31,0.0,0.8219297187948755,0.11361166202186955,0.0,0.0,0.0,-0.06038223356968713
1994-02-28,0.0,0.8254760994632903,0.09800462237355781,0.0,0.0,0.0,-0.0658267867833559
1994-03-31,0.0,0.7982313008967309,0.13352556506679414,0.0,0.0,0.0,-0.05724927067065696
