,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,Intercept
1992-02-29,0.0,0.9718396172872693,0.0,0.0,0.0,0.0,0.0
1992-03-31,0.0,0.9568214868150696,0.0,0.0,0.0,0.0,0.0
1992-04-30,0.0,0.9544870877586661,0.0,0.0,0.0,0.0,0.0
1992-05-31,0.0,0.9541091498075726,0.0,0.0,0.0,0.0,0.0
1992-06-30,0.0,0.9539247419952125,0.0,0.0,0.0,0.0,0.0
1992-07-31,0.0,0.9537777123718677,0.0,0.0,0.0,0.0,0.0
1992-08-31,0.0,0.9474717715351703,0.0,0.0,0.0,0.0,0.0
1992-09-30,0.0,0.937890344132769,0.0,0.0,0.0,0.0,0.0
1992-10-31,0.0,0.9398823483461326,0.0,0.0,0.0,0.0,0.0
1992-11-30,0.0,0.9442470422175882,0.0,0.0,0.0,0.0,0.0
1992-12-31,0.0,0.8171495008066948,0.0,0.0,0.0,0.0,0.0
1993-01-31,0.0,0.8314473253565772,0.0,0.0,0.0,0.0,0.0
1993-02-28,0.0,0.8031578964861239,0.0,0.0,0.0,0.0,0.0
1993-03-31,0.0,0.8137934717591776,0.0,0.0,0.0,0.0,0.0
1993-04-30,0.0,0.7950910978876313,0.0,0.0,0.0,0.0,0.0
1993-05-31,0.0,0.7921760972055236,0.0,0.0,0.0,0.0,0.0
1993-06-30,0.0,0.7929393233771296,0.0,0.0,0.0,0.0,0.0
1993-07-31,0.0,0.7930500251186074,0.0,0.0,0.0,0.0,0.0
1993-08-31,0.0,0.7745520947224439,0.0,0.0,0.0,0.0,0.0
1993-09-30,0.0,0.7768457290093267,0.0,0.0,0.0,0.0,0.0
1993-10-31,0.0,0.7702226230690838,0.0,0.0,0.0,0.0,0.0
1993-11-30,0.0,0.7685071581790368,0.0,0.0,0.0,0.0,0.0
1993-12-31,0.0,0.7639519665970516,0.0,0.0,0.0,0.0,0.0
1994-01-31,0.0,0.7681906686966582,0.0,0.0,0.0,0.0,0.0
1994-02-28,0.0,0.7716900872076072,0.0,0.0,0.0,0.0,0.0
1994-03-31,0.0,0.7562703738078473,0.0,0.0,0.0,0.0,0.0
1994-04-30,0.0,0.7596623520370153,0.0,0.0,0.0,0.0,0.0
1994-05-31,0.0,0.7594160785602707,0.0,0.0,0.0,0.0,0.0
1994-06-30,0.0,0.7507032276538029,0.0,0.0,0.0,0.0,0.0
1994-07-31,0.0,0.7448748102253665,0.0,0.0,0.0,0.0,0.0
1994-08-31,0.0,0.7495927296162851,0.0,0.0,0.0,0.0,0.0
1994-09-30,0.0,0.73488469511827,0.0,0.0,0.0,0.0,0.0
1994-10-31,0.0,0.7317066809570082,0.0,0.0,0.0,0.0,0.0
1994-11-30,0.0,0.7292938203550986,0.0,0.0,0.0,0.0,0.0
1994-12-31,0.0,0.7315995626035439,0.0,0.0,0.0,0.0,0.0
1995-01-31,0.0,0.7324027796118296,0.0,0.0,0.0,0.0,0.0
1995-02-28,0.0,0.7279016299152964,0.0,0.0,0.0,0.0,0.0
1995-03-31,0.0,0.7414403303805055,0.0,0.0,0.0,0.0,0.0
1995-04-30,0.0,0.7427754752770553,0.0,0.0,0.0,0.0,0.0
1995-05-31,0.0,0.7389694594776266,0.0,0.0,0.0,0.0,0.0
1995-06-30,0.0,0.7401950532526188,0.0,0.0,0.0,0.0,0.0
1995-07-31,0.0,0.7275519944714985,0.0,0.0,0.0,0.0,0.0
1995-08-31,0.0,0.7353001464792822,0.0,0.0,0.0,0.0,0.0
1995-09-30,0.0,0.7377599565736175,0.0,0.0,0.0,0.0,0.0
1995-10-31,0.0,0.6758189594099083,0.0,0.0,0.0,0.0,0.0
1995-11-30,0.0,0.6431470720665298,0.0,0.0,0.0,0.0,0.0
1995-12-31,0.0,0.6573942721965508,0.0,0.0,0.0,0.0,0.0
1996-01-31,0.0,0.6359010216583961,0.0,0.0,0.0,0.0,0.0
1996-02-29,0.0,0.626841673852063,0.0,0.0,0.0,0.0,0.0
1996-03-31,0.0,0.5914869319819283,0.0,0.0,0.0,0.0,0.0
1996-04-30,0.0,0.5761571471350787,0.0,0.0,0.0,0.0,0.0
1996-05-31,0.0,0.5806812638280469,0.0,0.0,0.0,0.0,0.0
1996-06-30,0.0,0.5865334343162885,0.0,0.0,0.0,0.0,0.0
1996-07-31,0.0,0.5565488741090584,0.0,0.0,0.0,0.0,0.0
1996-08-31,0.0,0.5560622488191594,0.0,0.0,0.0,0.0,0.0
1996-09-30,0.0,0.5648792795714608,0.0,0.0,0.0,0.0,0.0
1996-10-31,0.0,0.5855603585344541,0.0,0.0,0.0,0.0,0.0
1996-11-30,0.0,0.5830756395045811,0.0,0.0,0.0,0.0,0.0
1996-12-31,0.0,0.6037119101607663,0.0,0.0,0.0,0.0,0.0
1997-01-31,0.0,0.5811160856210495,0.0,0.0,0.0,0.0,0.0
1997-02-28,0.0,0.49214064704642985,0.0,0.0,0.0,0.0,0.0
1997-03-31,0.0,0.49398305409835197,0.0,0.0,0.0,0.0,0.0
1997-04-30,0.0,0.5032491619531179,0.0,0.0,0.0,0.0,0.0
1997-05-31,0.0,0.5216995340838648,0.0,0.0,0.0,0.0,0.0
1997-06-30,0.0,0.5685043752928013,0.0,0.0,0.0,0.0,0.0
1997-07-31,0.0,0.5858638607627407,0.0,0.0,0.0,0.0,0.0
1997-08-31,0.0,0.6115806982461802,0.0,0.0,0.0,0.0,0.0
1997-09-30,0.0,0.6267025017423218,0.0,0.0,0.0,0.0,0.0
1997-10-31,0.0,0.625111496729999,0.0,0.0,0.0,0.0,0.0
1997-11-30,0.0,0.6443416204171897,0.0,0.0,0.0,0.0,0.0
1997-12-31,0.0,0.6520573922097552,0.0,0.0,0.0,0.0,0.0
1998-01-31,0.0,0.6379544151241386,0.0,0.0,0.0,0.0,0.0
1998-02-28,0.0,0.6362218020889321,0.0,0.0,0.0,0.0,0.0
1998-03-31,0.0,0.6536564040332212,0.0,0.0,0.0,0.0,0.0
1998-04-30,0.0,0.665301205367639,0.0,0.0,0.0,0.0,0.0
1998-05-31,0.0,0.6629112810937782,0.0,0.0,0.0,0.0,0.0
1998-06-30,0.0,0.6747695093802949,0.0,0.0,0.0,0.0,0.0
1998-07-31,0.0,0.6598083224373272,0.0,0.0,0.0,0.0,0.0
1998-08-31,0.0,0.6689739783925357,0.0,0.0,0.0,0.0,0.0
1998-09-30,0.0,0.740580096111138,0.0,0.0,0.0,0.0,0.0
