,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,Intercept
1992-02-29,0.0,1.0596182253932627,0.0,0.0,0.0,0.0,0.0
1992-03-31,0.0,1.0708721344939107,0.0,0.0,0.0,0.0,0.0
1992-04-30,0.0,1.0557292296838976,0.0,0.0,0.0,0.0,0.0
1992-05-31,0.0,1.0528983899533153,0.0,0.0,0.0,0.0,0.0
1992-06-30,0.0,1.0523005140516024,0.0,0.0,0.0,0.0,0.0
1992-07-31,0.0,1.0515796419728842,0.0,0.0,0.0,0.0,0.0
1992-08-31,0.0,1.046459380776676,0.0,0.0,0.0,0.0,0.0
1992-09-30,0.0,1.0400041752170863,0.0,0.0,0.0,0.0,0.0
1992-10-31,0.0,1.0426137764711854,0.0,0.0,0.0,0.0,0.0
1992-11-30,0.0,1.038462400894951,0.0040277949017961685,0.0,0.0,0.0,0.0
1992-12-31,0.0,0.9721843345372937,0.0,0.0,0.0,0.0,0.0
1993-01-31,0.0,0.9647975400265765,0.0,0.0,0.0,0.0,0.0
1993-02-28,0.0,0.9516117506749286,0.0,0.0,0.0,0.0,0.0
1993-03-31,0.0,0.9452115493508466,0.0,0.0,0.0,0.0,0.0
1993-04-30,0.0,0.9205253312156093,0.0,0.0,0.0,0.0,0.0
1993-05-31,0.0,0.9380646815394726,0.0,0.0,0.0,0.0,0.0
1993-06-30,0.0,0.9460752521815052,0.0,0.0,0.0,0.0,0.0
1993-07-31,0.0,0.9422629132439171,0.0,-0.013002939027219192,0.0,0.0,0.0
1993-08-31,0.0,0.934037897553583,0.0,-0.005407373082375278,0.0,0.0,0.0
1993-09-30,0.0,0.9361345479520636,0.0,-0.006020968683808232,0.0,0.0,0.0
1993-10-31,0.0,0.9374889905639682,0.0,-0.00759262456695866,0.0,0.0,0.0
1993-11-30,0.0,0.9225372780380611,0.0,-0.024237891677283487,0.0,0.0,0.0
1993-12-31,0.0,0.9159416640439818,0.0,-0.03267531135212189,0.0,0.0,0.0
1994-01-31,0.0,0.9085607847869458,0.0,-0.035754505989061276,0.0,0.0,0.0
1994-02-28,0.0,0.903181641933867,0.0,-0.040799750816997646,0.0,0.0,0.0
1994-03-31,0.0,0.8838559377576871,0.0,-0.06168123166726234,0.0,0.0,0.0
1994-04-30,0.0,0.8863677954410693,0.0,-0.06264956988564882,0.0,0.0,0.0
1994-05-31,0.0,0.8832278210769707,0.0,-0.06647079364579596,0.0,0.0,0.0
1994-06-30,0.0,0.8737446304611861,0.006889705335585633,-0.06814691508281995,0.0,0.0,0.0
1994-07-31,0.0,0.8647562351576078,0.008321478480394452,-0.06470597746504797,0.0,-0.0059666459178966775,0.0
1994-08-31,0.0,0.8588989163226329,0.013419899915972417,-0.06534700903112853,0.0,-0.005716569159544785,0.0
1994-09-30,0.0,0.8356980196276802,0.04447644427212338,-0.05470433805193332,0.0,-0.019738846198925162,0.0
