,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,Intercept
1992-02-29,0.0,0.335830823844497,-0.07225048555655493,0.0,0.0,0.0,0.0
1992-03-31,0.0,0.2958270824331939,-0.047009940496499744,0.0,0.0,0.0,0.0
1992-04-30,0.0,0.3016771224679037,-0.030683486371999528,0.0,0.0,0.0,0.0
1992-05-31,0.0,0.30772863186520377,-0.051899486178772665,0.0,0.0,0.0,0.0
1992-06-30,0.0,0.304495001857001,-0.05926237796486686,0.0,0.0,0.0,0.0
1992-07-31,0.0,0.30394406894993947,-0.06552415804635806,0.0,0.0,0.0,0.0
1992-08-31,0.0,0.3113717512021632,-0.06644964472688394,0.0,0.0,0.0,0.0
1992-09-30,0.0,0.3187780897402222,-0.07479007279212946,0.0,0.0,0.0,0.0
1992-10-31,0.0,0.3130716814986903,-0.06842977834111989,0.0,0.0,0.0,0.0
1992-11-30,0.0,0.31049554916666683,-0.06855805743799208,0.0,0.0,0.0,0.0
1992-12-31,0.0,0.301551997871662,-0.07980925978157334,0.0,0.0,0.0,0.0
1993-01-31,0.0,0.30461192969838014,-0.07354495339316885,0.0,0.0,0.0,0.0
1993-02-28,0.0,0.31548969936610516,-0.06742174123491546,0.0,0.0,0.0,0.0
1993-03-31,0.0,0.278493113647308,-0.05655444480806704,0.0,0.0,0.0,0.11212296851517706
1993-04-30,0.0,0.28986282624837345,-0.04397722111063645,0.0,0.0,0.0,0.11303270502881678
1993-05-31,0.0,0.2795867638863309,-0.012933630531205269,0.0,0.0,0.0,0.12349716102270673
1993-06-30,0.0,0.2775699017486494,-0.013417087379010527,0.0,0.0,0.0,0.12553072463548023
1993-07-31,0.0,0.2772391245511364,0.0,0.0,0.0,0.0,0.14165482234718216
1993-08-31,0.0,0.2650122516119018,0.0,0.0,0.0,0.0,0.15917164120345415
1993-09-30,0.0,0.2724809858430251,0.0,0.0,0.0,0.0,0.16679152237060726
1993-10-31,0.0,0.27531667220919737,0.0,0.0,0.0,0.0,0.1607933172102774
1993-11-30,0.0,0.2665522002103512,0.0,0.0,0.0,0.0,0.16798275907668292
1993-12-31,0.0,0.2703886684317355,0.0,0.0,0.0,0.0,0.19036719287256046
1994-01-31,0.0,0.271587856873923,0.0,0.0,0.0,0.0,0.19239712895723604
1994-02-28,0.0,0.2652855284567607,0.0,0.0,0.0,0.0,0.19273278206438463
1994-03-31,0.0,0.2687655982954773,0.0,0.0,0.0,0.0,0.1942568966735476
1994-04-30,0.0,0.27644728493358234,0.0,0.0,0.0,0.0,0.19913435427269655
1994-05-31,0.0,0.2782785288711285,0.0,0.0,0.0,0.0,0.20254728174801157
1994-06-30,0.0,0.2644023554043283,0.0,0.0,0.0,0.0,0.21312240448318484
1994-07-31,0.0,0.257441482666361,0.0,0.0,0.0,0.0,0.20795378634237183
1994-08-31,0.0,0.27491655669513915,0.0,0.0,0.0,0.0,0.2051789661216074
1994-09-30,0.0,0.2525601250831404,0.0,0.0,0.0,0.0,0.18472973307371224
1994-10-31,0.0,0.2602338374834588,0.0,0.0,0.0,0.0,0.17975216494790444
1994-11-30,0.0,0.2615247111365767,0.0,0.0,0.0,0.0,0.18132988773425765
1994-12-31,0.0,0.26254720595395326,0.0,0.0,0.0,0.0,0.17776109643286583
1995-01-31,0.0,0.2600515742311188,0.0,0.0,0.0,0.0,0.16659553245825456
1995-02-28,0.0,0.2678018814423722,0.0,0.0,0.0,0.0,0.13526549877161506
1995-03-31,0.0,0.24397858870781902,0.0,0.0,0.0,0.0,0.12293692720881495
1995-04-30,0.0,0.23851868564424197,0.0,0.0,0.0,0.0,0.12166306011015171
1995-05-31,0.0,0.24485880613986982,0.0,0.0,0.0,0.0,0.1292529153362944
1995-06-30,0.0,0.2431969402630439,0.0,0.0,0.0,0.0,0.14307408736863944
1995-07-31,0.0,0.20998311635374847,0.0,0.0,0.0,0.0,0.12430707157893023
1995-08-31,0.0,0.20475442280652748,0.0,0.0,0.0,0.0,0.11675319247259203
1995-09-30,0.0,0.2066991937173681,0.0,0.0,0.0,0.0,0.11168105028980414
1995-10-31,0.0,0.16655799029316237,-0.015102440070188768,0.0,0.0,0.0,0.14998825640135463
1995-11-30,0.0,0.16940778079453822,-0.019543633575780175,0.0,0.0,0.0,0.15085677213664545
1995-12-31,0.0,0.19919173330298706,0.0,0.0,0.0,0.0,0.07472124302001885
1996-01-31,0.0,0.1863864469611386,0.0,0.0,0.0,0.0,0.11120648080817155
1996-02-29,0.0,0.18957113354177269,0.0,0.0,0.0,0.0,0.11157624463573075
1996-03-31,0.0,0.2001605296776709,0.0,0.0,0.0,0.0,0.08694603596320057
1996-04-30,0.0,0.13994764347730365,0.0,0.0,0.0,0.0,0.14470553491393315
1996-05-31,0.0,0.12578927864845843,-0.027342308384547296,0.0,0.0,0.0,0.14990991943945106
1996-06-30,0.0,0.12807829534063578,-0.021808482168273427,0.0,0.0,0.0,0.15320732990514446
1996-07-31,0.0,0.11715082963371956,-0.05956374810043992,0.0,0.0,0.0,0.16757491849855066
1996-08-31,0.0,0.15276099252960396,-0.02166544029579014,0.0,0.0,0.0,0.1567824897614254
1996-09-30,0.0,0.15105119771530912,-0.003545153452161139,0.0,0.0,0.0,0.13412595575475347
1996-10-31,0.0,0.13969056249819084,-0.009367712187856968,0.0,0.0,0.0,0.12678408918086392
1996-11-30,0.0,0.1536300141291406,-0.04250550038130808,0.0,0.0,0.0,0.12974664219428608
1996-12-31,0.0,0.1735667101683467,-0.056855500509744465,0.0,0.0,0.0,0.11046488204109661
1997-01-31,0.0,0.18981565385125823,-0.050073223982352255,0.0,0.0,0.0,0.10002767221034439
1997-02-28,0.0,0.15505477655921673,-0.03801767133493858,0.0,0.0,0.0,0.06929536225070461
1997-03-31,0.0,0.1540172962071965,0.0,0.0030043418841850986,0.0,0.0,0.0454488893372848
1997-04-30,0.0,0.1765513906170304,0.0,0.012631810924677338,0.0,0.0,0.03382334008111615
1997-05-31,0.0,0.16527524192023474,0.0,0.012929309508332912,0.0,0.0,0.013023271937501066
1997-06-30,0.0,0.18852301301234303,0.0,0.0,0.0,0.0,0.0
1997-07-31,0.0,0.20054992397060084,0.0,0.0,0.0,0.0,0.003680540306007637
1997-08-31,0.0,0.21572042126714544,0.0,0.0,0.0,0.0,0.011003300985895345
1997-09-30,0.0,0.1887906788148306,0.0,0.0,0.0,0.0,0.0009083036243636185
1997-10-31,0.0,0.21350377114586738,0.0,0.0,0.0,0.0,0.004945101263209267
1997-11-30,0.0,0.20431597321108808,0.0,0.0,0.0,0.0,0.0037174586184538275
1997-12-31,0.0,0.23207159581778292,0.0,0.01129451769769957,0.0,0.0,0.0020382028227156597
1998-01-31,0.0,0.25067304507612226,0.0,0.05964581125732497,0.0,0.0,0.04474076307517821
1998-02-28,0.0,0.25012456703148866,0.0,0.06674605859982859,0.0,0.0,0.02551554606428369
1998-03-31,0.0,0.2563327485452978,0.0,0.04805058528870802,0.0,0.0,0.007422509339513591
1998-04-30,0.0,0.28112097741173836,0.0,0.0,0.0,0.0,0.0
1998-05-31,0.0,0.2756484972595314,0.0,0.0,0.0,0.0,0.0
1998-06-30,0.0,0.27834744356189606,0.0,0.0,0.0,0.0,0.0
1998-07-31,0.0,0.28778885270763843,0.0,0.0,0.0,0.0,0.006091640191390183
1998-08-31,0.0,0.3012633113449568,0.0,0.0,0.0,0.0,0.0
1998-09-30,0.0,0.19726724423337733,0.0,0.0,0.0,0.0,0.0
1998-10-31,0.0,0.22453662096850915,0.0,0.0,0.0,0.0,0.0
1998-11-30,0.0,0.20395435952210839,0.0,0.0,0.0,0.0,0.0
1998-12-31,0.0,0.2071162391555767,0.0,0.0,0.0,0.0,0.0
1999-01-31,0.0,0.2069704515690958,0.0,0.0,0.0,0.0,0.0
1999-02-28,0.0,0.18571925081259216,0.0,0.0,0.0,0.0,0.0
1999-03-31,0.0,0.19947876331480668,0.0,0.0,0.0,0.0,0.0
1999-04-30,0.0,0.18395600308577653,0.0,0.0,0.0,0.0,0.0
1999-05-31,0.0,0.19431833980768057,0.0,0.0,0.0,0.0,0.0
1999-06-30,0.0,0.18350169475315292,0.0,0.01928362706714642,0.0,0.0,0.0
1999-07-31,0.0,0.1747617308902071,0.0,0.052864265297479104,0.0,0.0,0.0
1999-08-31,0.0,0.16925242545595567,0.0,0.058401992704980865,0.0,0.0,0.0
1999-09-30,0.0,0.15432250413868687,0.0,0.04166015354941458,0.0,0.0,0.0
1999-10-31,0.0,0.1692194969265482,0.0,0.07533632677062084,0.0,0.0,0.0
1999-11-30,0.0,0.16807467631670833,0.0,0.05746732911778956,0.0,0.0,0.0
1999-12-31,0.0,0.16744235712491784,0.0,0.14331547167494046,0.0,0.0,0.0
2000-01-31,0.0,0.16586042200582035,0.0,0.17419685378661057,0.0,0.0,0.0
2000-02-29,0.0,0.12984756690063898,0.0,0.13194588051522735,0.0,0.0,0.0
2000-03-31,0.0,0.12981715699804972,0.0,0.1929295275084122,0.0,0.0,-0.005241100490640568
2000-04-30,0.0,0.15211007969156043,-0.013270581861666783,0.22764861347625123,0.0,0.0,-0.010474370476704142
2000-05-31,0.0,0.13628233498990444,-0.021940610899257584,0.25332324479814167,0.0,0.0,-0.03467011686348458
2000-06-30,0.0,0.126754262445083,-0.026739769908602877,0.24480955345131317,0.0,0.0,-0.054180778523099674
2000-07-31,0.0,0.10846148808861417,-0.03357937247937754,0.21955851555173478,0.0,0.0,-0.07717889843413403
2000-08-31,0.0,0.11332608232982434,-0.02402982403059389,0.2616998394965484,0.0,0.0,-0.06408564586999414
2000-09-30,0.0,0.1746038046128337,-0.03700185750025192,0.2898903721404052,0.0,0.02453635806334448,-0.021611134652423813
2000-10-31,0.0,0.1786941733394421,-0.01052893699372134,0.3613364325810391,0.0,0.0734284341794854,0.0
2000-11-30,0.0,0.15459932506709656,-0.005106220389426518,0.3460792203904341,0.0,0.034593796756673706,0.0
2000-12-31,0.0,0.1581936536401577,0.0,0.3526767157093231,0.0,0.03652992618646571,0.0
2001-01-31,0.0,0.17584638434508568,0.0,0.37261786279619014,0.0,0.059214408749597505,0.0
2001-02-28,0.0,0.1738344922319924,-0.0038751624056967532,0.39359592337317784,0.0,0.08326632172702389,0.0
2001-03-31,0.0,0.16750986358356082,0.0,0.4111204177642306,0.0,0.08598506539769059,0.003582647336766437
2001-04-30,0.0,0.16712889556845628,0.0,0.412603074347048,0.0,0.0780498076437165,0.0038987824938957467
2001-05-31,0.0,0.19457438794393223,0.0,0.4042659007237757,0.0,0.08667248940950796,0.0
2001-06-30,0.0,0.18959021084972827,0.0,0.39677624149664087,0.0,0.08155051416554243,0.0
2001-07-31,0.0,0.20016671147691228,-0.024434082645763154,0.3848055773792213,0.0,0.10965807304021329,0.0
2001-08-31,0.0,0.19429324323590785,-0.010723317898701012,0.3681440300603884,0.0,0.09328954641413488,0.0
2001-09-30,0.0,0.17244193813795936,-0.023625863503980105,0.3782031827941126,0.0,0.08694331507893974,0.0
2001-10-31,0.0,0.20529727934696645,0.0,0.40071581684913354,0.0,0.0894535399888112,0.0
2001-11-30,0.0,0.19333057721987207,0.0,0.3815330423846836,0.0,0.07524753643425831,0.0
2001-12-31,0.0,0.1680324661113158,0.0,0.35959723588838843,0.0,0.07192540086178793,0.0
2002-01-31,0.0,0.167168896134361,0.0,0.36146866168462716,0.0,0.06924714184906283,0.0
2002-02-28,0.0,0.16020944150452968,0.0,0.3550756710444892,0.0,0.05130398159024547,0.0
2002-03-31,0.0,0.14467833310771352,0.0,0.371491239815418,0.0,0.0,0.0
2002-04-30,0.0,0.20331884976785272,0.0,0.3798302502196861,0.0,0.08129331661926711,0.0
2002-05-31,0.0,0.19417988721927804,0.0,0.3865444316306688,0.0,0.0679451281360096,0.0
2002-06-30,0.0,0.18310099267532473,0.0,0.4089692832990592,0.0,0.0,0.0
